TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,cumAlphaSpent,efficacyZUpper,efficacyZLower,cumAlphaSpentUpper,cumAlphaSpentLower,efficacyPValue,futilityCP,efficacyZ,futilityZ,futilityPValue,efficacyZUpper,efficacyZLower,futilityZUpper,futilityZLower
TC_23,ITER_01,0,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,2.445,,0.000123,
TC_23,ITER_01,1,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,2.555,,0.145625,
TC_23,ITER_01,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,
TC_23,ITER_02,0,N/A,N/A,N/A,N/A,0.02666,0.019564,N/A,N/A,,N/A,N/A,,,,
TC_23,ITER_02,1,N/A,N/A,N/A,N/A,0.028885,N/A,N/A,N/A,,N/A,N/A,,,,
TC_23,ITER_02,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,
TC_23,ITER_04,0,N/A,,,,,,,,,-1.4445,,,,,
TC_23,ITER_04,1,N/A,,,,,,,,,,,,,,
TC_23,ITER_05,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.41111,,N/A,N/A,,,,
TC_23,ITER_06,0,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.9256,1.2223,N/A,,,,
TC_23,ITER_06,1,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.7755,N/A,N/A,,,,
TC_23,ITER_07,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,0.9188,,,,
