ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description
txt_Username,LoginPage,testid,login-username,,#username,FALSE,Username field
txt_Password,LoginPage,testid,login-password,,#password,FALSE,Password field
btn_Login,LoginPage,role,button,Sign in,,FALSE,Sign in button
btn_NewProject,ProjectsPage,testid,new-project,,button:has-text("New Project"),FALSE,Open new-project dialog
txt_ProjectName,ProjectPage,label,Project Name,,,FALSE,Project name input
ddl_TimeUnit,ProjectPage,label,Time Unit,,,FALSE,Time unit dropdown
txt_StartDate,ProjectPage,label,Start Date,,,FALSE,Start date input
ddl_Phase,ProjectPage,label,Phase,,,FALSE,Study phase dropdown
ddl_TargetPopulation,ProjectPage,label,Target Population,,,FALSE,Target population dropdown
txt_TreatmentArm,ProjectPage,label,Treatment Arm,,,FALSE,Treatment arm input
txt_EndpointName,ProjectPage,label,Endpoint Name,,,FALSE,Endpoint name input
ddl_EndpointType,ProjectPage,label,Endpoint Type,,,FALSE,Endpoint type dropdown
ddl_BetterResponse,ProjectPage,label,Better Response,,,FALSE,Better response direction dropdown
btn_SaveProject,ProjectPage,testid,save-project,,button:has-text("Save"),FALSE,Save project button
lbl_ProjectId,ProjectPage,testid,project-id,,,FALSE,Element carrying the generated project id in data-id
txt_InputSetName,InputSetPage,label,Input Set Name,,,FALSE,Input set name input
ddl_SelectTask,InputSetPage,label,Task,,,FALSE,Task dropdown (Design)
ddl_Test,InputSetPage,label,Test,,,FALSE,Statistical test dropdown
btn_CreateInputSet,InputSetPage,testid,create-input-set,,button:has-text("Create"),FALSE,Create input set button
ddl_DesignType,DesignPage,label,Design Type,,,FALSE,Optimal / Minimax dropdown
txt_UpperLimit,DesignPage,label,Upper Limit for Sample Size,,,FALSE,Upper limit for sample size
txt_Power,DesignPage,label,Power,,,FALSE,Target power input
ddl_TestType,DesignPage,label,Test Type,,,FALSE,1-Sided / 2-Sided dropdown
txt_Type1Error,DesignPage,label,Type 1 Error,,,FALSE,Type-1 error input
txt_PropNull,DesignPage,label,Response Proportion Under Null,,,FALSE,p0 input
txt_PropAlt,DesignPage,label,Response Proportion Under Alternative,,,FALSE,p1 input
btn_Compute,DesignPage,testid,compute,,button:has-text("Compute"),FALSE,Compute / simulate button
lbl_RunStatus,DesignPage,testid,run-status,,,FALSE,Status polled during simulation
tbl_Results,ResultsPage,testid,results-grid,,table.results,FALSE,Results grid to extract
btn_ExportResults,ResultsPage,testid,export-results,,button:has-text("Export"),FALSE,Export results download trigger
